Genre,Film Link
action,/film/superman-iv-the-quest-for-peace/
action,/film/a-prayer-before-dawn/
action,/film/star-trek-v-the-final-frontier/
action,/film/the-last-stand-2013/
action,/film/wild-hogs/
action,/film/coffy/
action,/film/how-i-live-now/
action,/film/batman-assault-on-arkham/
action,/film/the-towering-inferno/
action,/film/innerspace/
action,/film/punisher-war-zone/
action,/film/bahubali-the-beginning/
action,/film/violent-cop/
action,/film/swat/
action,/film/we-can-be-heroes-2020/
action,/film/ultraman-rising/
action,/film/underworld-rise-of-the-lycans/
action,/film/shadow-in-the-cloud/
action,/film/machete-kills/
action,/film/transporter-3/
action,/film/underworld-awakening/
action,/film/star-trek-generations/
action,/film/jack-ryan-shadow-recruit/
action,/film/ong-bak-muay-thai-warrior/
action,/film/we-were-soldiers/
action,/film/samaritan-2022/
action,/film/copshop/
action,/film/attack-on-titan-chronicle/
action,/film/hobo-with-a-shotgun/
action,/film/rollerball/
action,/film/payback/
action,/film/red-state/
action,/film/thunderbolt-and-lightfoot/
action,/film/universal-soldier/
action,/film/death-wish-2018/
action,/film/keeping-up-with-the-joneses/
action,/film/homefront/
action,/film/the-tuxedo/
action,/film/the-last-witch-hunter/
action,/film/sweet-sweetbacks-baadasssss-song/
action,/film/young-guns/
action,/film/bob-le-flambeur/
action,/film/us-marshals/
action,/film/drive-angry/
action,/film/taxi-1998/
action,/film/ultraviolet/
action,/film/justice-league-doom/
action,/film/jackass-35/
action,/film/shaft-2000/
action,/film/space-cowboys/
action,/film/marighella-2021/
action,/film/the-spy-next-door/
action,/film/injustice-2021/
action,/film/the-guns-of-navarone/
action,/film/underworld-blood-wars/
action,/film/agent-cody-banks/
action,/film/zatoichi/
action,/film/once-upon-a-time-in-china/
action,/film/blue-streak/
action,/film/godzilla-vs-mechagodzilla/
action,/film/where-eagles-dare/
action,/film/mechanic-resurrection/
action,/film/peppermint-2018/
action,/film/mighty-morphin-power-rangers-the-movie/
action,/film/zulu/
action,/film/the-time-machine-2002/
action,/film/the-longest-day/
action,/film/let-the-corpses-tan/
action,/film/runaway-train/
action,/film/sahara-2005/
action,/film/underdog/
action,/film/open-range/
action,/film/spy-x-family-code-white/
action,/film/self-less/
action,/film/bullet-in-the-head/
action,/film/d2-the-mighty-ducks/
action,/film/kickboxer/
action,/film/cellular/
action,/film/paycheck/
action,/film/the-girl-who-played-with-fire/
action,/film/casino-royale/
action,/film/green-zone/
action,/film/sudden-impact/
action,/film/masters-of-the-universe/
action,/film/star-trek-insurrection/
action,/film/final-fantasy-vii-advent-children/
action,/film/batman-gotham-by-gaslight/
action,/film/green-snake/
action,/film/the-three-musketeers-milady/
action,/film/season-of-the-witch/
action,/film/the-gods-must-be-crazy/
action,/film/man-on-a-ledge/
action,/film/lone-wolf-and-cub-sword-of-vengeance/
action,/film/the-hunted-2003/
action,/film/love-death-robots-ice/
action,/film/miami-connection/
action,/film/ip-man-4-the-finale/
action,/film/the-machine-2/
action,/film/wendy-wu-homecoming-warrior/
action,/film/dead-presidents/
action,/film/blade-runner-black-out-2022/
action,/film/dragon-ball-z-battle-of-gods/
action,/film/hudson-hawk/
action,/film/my-hero-academia-heroes-rising/
action,/film/red-dawn-2012/
action,/film/my-spy-2020/
action,/film/the-ice-road/
action,/film/vikram-2022/
action,/film/sky-captain-and-the-world-of-tomorrow/
action,/film/priest-2011/
action,/film/wingwomen/
action,/film/invasion-of-astro-monster/
action,/film/barely-lethal/
action,/film/conspiracy-theory/
action,/film/without-a-paddle/
action,/film/bugsy-malone/
action,/film/along-with-the-gods-the-two-worlds/
action,/film/run-all-night/
action,/film/night-teeth/
action,/film/silverado/
action,/film/deep-rising/
action,/film/pokemon-3-the-movie/
action,/film/surrogates/
action,/film/get-duked/
action,/film/teen-titans-the-judas-contract/
action,/film/7500/
action,/film/marry-my-dead-body/
action,/film/marvel-one-shot-agent-carter/
